1	18	RA	----NSF-	10	ἡ	ἡ	η	ὁ			
1	18	N-	----NSF-	13442	γένεσις	γενεσις	γενεσις	γένεσις			
1	18	D-	--------	8	οὕτως	οὑτως	ουτως	οὕτω(ς)			
1	18	V-	3IAI-S--	632449	ἦν	ἠν	ην	εἰμί			.
1	18	V-	-APPGSF-	6998977	μνηστευθείσης	μνηστευθεισης	μνηστευθεισης	μνηστεύομαι			
1	18	RA	----GSF-	10	τῆς	της	της	ὁ			
1	18	N-	----GSF-	13634	μητρὸς	μητρος	μητρος	μήτηρ			
1	18	RP	----GSM-	13	αὐτοῦ	αὐτου	αυτου	αὐτός			
1	18	N-	----GSF-	13634	Μαρίας	μαριας	μαριας	Μαρία			
1	18	RA	----DSM-	10	τῷ	τω	τω	ὁ			
1	18	N-	----DSM-	9602	Ἰωσήφ	ἰωσηφ	ιωσηφ	Ἰωσήφ			,
1	18	D-	--------	8	πρὶν	πριν	πριν	πρίν			
1	18	C-	--------	4	ἢ	ἠ	η	ἤ			
1	18	V-	-AAN----	306049	συνελθεῖν	συνελθειν	συνελθειν	συνέρχομαι			
1	18	RP	----APM-	13	αὐτοὺς	αὐτους	αυτους	ἑαυτοῦ			
1	18	V-	3API-S--	2673281	εὑρέθη	εὑρεθη	ευρεθη	εὑρίσκω			
1	18	P-	--------	7	ἐν	ἐν	εν	ἐν			
1	18	N-	----DSF-	13698	γαστρὶ	γαστρι	γαστρι	γαστήρ			
1	18	V-	-PAPNSF-	566721	ἔχουσα	ἐχουσα	εχουσα	ἔχω			
1	18	P-	--------	7	ἐκ	ἐκ	εκ	ἐκ			
1	18	N-	----GSN-	17730	πνεύματος	πνευματος	πνευματος	πνεῦμα			
1	18	A-	----GSN-	17731	ἁγίου	ἁγιου	αγιου	ἅγιος			.
1	19	N-	----NSM-	9346	Ἰωσὴφ	ἰωσηφ	ιωσηφ	Ἰωσήφ			
1	19	C-	--------	4	δὲ	δε	δε	δέ			
1	19	RA	----NSM-	10	ὁ	ὁ	ο	ὁ			
1	19	N-	----NSM-	9346	ἀνὴρ	ἀνηρ	ανηρ	ἀνήρ			
1	19	RP	----GSF-	13	αὐτῆς	αὐτης	αυτης	αὐτός			,
1	19	A-	----NSM-	9347	δίκαιος	δικαιος	δικαιος	δίκαιος			
1	19	V-	-PAPNSM-	566721	ὢν	ὠν	ων	εἰμί			
1	19	C-	--------	4	καὶ	και	και	καί			
1	19	D-	--------	8	μὴ	μη	μη	μή			
1	19	V-	-PAPNSM-	566721	θέλων	θελων	θελων	θέλω			
1	19	RP	----ASF-	13	αὐτὴν	αὐτην	αυτην	ἑαυτοῦ			
1	19	V-	-AAN----	306049	δειγματίσαι	δειγματισαι	δειγματισαι	δειγματίζω			,
1	19	V-	3API-S--	2673281	ἐβουλήθη	ἐβουληθη	εβουληθη	βούλομαι			
1	19	D-	--------	8	λάθρᾳ	λαθρα	λαθρα	λάθρᾳ			
1	19	V-	-AAN----	306049	ἀπολῦσαι	ἀπολυσαι	απολυσαι	ἀπολύω			
1	19	RP	----ASF-	13	αὐτήν	αὐτην	αυτην	ἑαυτοῦ			.
1	20	RD	----APN-	11	ταῦτα	ταυτα	ταυτα	οὗτος			
1	20	C-	--------	4	δὲ	δε	δε	δέ			
1	20	RP	----GSM-	13	αὐτοῦ	αὐτου	αυτου	αὐτός			
1	20	V-	-APPGSM-	4901825	ἐνθυμηθέντος	ἐνθυμηθεντος	ενθυμηθεντος	ἐνθυμέομαι			
1	20	X-	--------	5	ἰδοὺ	ἰδου	ιδου	ἰδού			
1	20	N-	----NSM-	9346	ἄγγελος	ἀγγελος	αγγελος	ἄγγελος			
